(56,0)
(24,1)
(56,1)
(58,1)
(22,2)
(24,2)
(45,2)
(46,2)
(59,2)
(60,2)
(67,2)
(68,2)
(12,3)
(13,3)
(20,3)
(21,3)
(34,3)
(35,3)
(45,3)
(46,3)
(59,3)
(60,3)
(65,3)
(69,3)
(11,4)
(15,4)
(20,4)
(21,4)
(34,4)
(35,4)
(59,4)
(60,4)
(64,4)
(70,4)
(79,4)
(80,4)
(0,5)
(1,5)
(10,5)
(16,5)
(20,5)
(21,5)
(56,5)
(58,5)
(63,5)
(64,5)
(66,5)
(70,5)
(79,5)
(80,5)
(0,6)
(1,6)
(10,6)
(14,6)
(16,6)
(17,6)
(22,6)
(24,6)
(56,6)
(64,6)
(70,6)
(10,7)
(16,7)
(24,7)
(65,7)
(69,7)
(11,8)
(15,8)
(67,8)
(68,8)
(12,9)
(13,9)
(27,14)
(28,14)
(27,15)
(29,15)
(29,16)
(29,17)
(30,17)
