(122,0)
(154,0)
(24,1)
(66,1)
(120,1)
(122,1)
(154,1)
(156,1)
(22,2)
(24,2)
(64,2)
(66,2)
(110,2)
(111,2)
(118,2)
(119,2)
(132,2)
(133,2)
(143,2)
(144,2)
(157,2)
(158,2)
(165,2)
(166,2)
(12,3)
(13,3)
(20,3)
(21,3)
(34,3)
(35,3)
(54,3)
(55,3)
(62,3)
(63,3)
(76,3)
(77,3)
(109,3)
(113,3)
(118,3)
(119,3)
(132,3)
(133,3)
(143,3)
(144,3)
(157,3)
(158,3)
(163,3)
(167,3)
(11,4)
(15,4)
(20,4)
(21,4)
(34,4)
(35,4)
(53,4)
(57,4)
(62,4)
(63,4)
(76,4)
(77,4)
(98,4)
(99,4)
(108,4)
(114,4)
(118,4)
(119,4)
(157,4)
(158,4)
(162,4)
(168,4)
(177,4)
(178,4)
(0,5)
(1,5)
(10,5)
(16,5)
(20,5)
(21,5)
(42,5)
(43,5)
(52,5)
(58,5)
(62,5)
(63,5)
(98,5)
(99,5)
(108,5)
(112,5)
(114,5)
(115,5)
(120,5)
(122,5)
(154,5)
(156,5)
(161,5)
(162,5)
(164,5)
(168,5)
(177,5)
(178,5)
(0,6)
(1,6)
(10,6)
(14,6)
(16,6)
(17,6)
(22,6)
(24,6)
(42,6)
(43,6)
(52,6)
(56,6)
(58,6)
(59,6)
(64,6)
(66,6)
(108,6)
(114,6)
(122,6)
(154,6)
(162,6)
(168,6)
(10,7)
(16,7)
(24,7)
(52,7)
(58,7)
(66,7)
(109,7)
(113,7)
(163,7)
(167,7)
(11,8)
(15,8)
(53,8)
(57,8)
(110,8)
(111,8)
(165,8)
(166,8)
(12,9)
(13,9)
(54,9)
(55,9)
(125,13)
(126,13)
(125,14)
(127,14)
(127,15)
(127,16)
(128,16)
(126,71)
(127,71)
(126,72)
(128,72)
(128,73)
(128,74)
(129,74)
