(80,0)
(112,0)
(24,1)
(78,1)
(80,1)
(112,1)
(114,1)
(22,2)
(24,2)
(68,2)
(69,2)
(76,2)
(77,2)
(90,2)
(91,2)
(101,2)
(102,2)
(115,2)
(116,2)
(123,2)
(124,2)
(12,3)
(13,3)
(20,3)
(21,3)
(34,3)
(35,3)
(67,3)
(71,3)
(76,3)
(77,3)
(90,3)
(91,3)
(101,3)
(102,3)
(115,3)
(116,3)
(121,3)
(125,3)
(11,4)
(15,4)
(20,4)
(21,4)
(34,4)
(35,4)
(56,4)
(57,4)
(66,4)
(72,4)
(76,4)
(77,4)
(115,4)
(116,4)
(120,4)
(126,4)
(135,4)
(136,4)
(0,5)
(1,5)
(10,5)
(16,5)
(20,5)
(21,5)
(56,5)
(57,5)
(66,5)
(70,5)
(72,5)
(73,5)
(78,5)
(80,5)
(112,5)
(114,5)
(119,5)
(120,5)
(122,5)
(126,5)
(135,5)
(136,5)
(0,6)
(1,6)
(10,6)
(14,6)
(16,6)
(17,6)
(22,6)
(24,6)
(66,6)
(72,6)
(80,6)
(112,6)
(120,6)
(126,6)
(10,7)
(16,7)
(24,7)
(67,7)
(71,7)
(121,7)
(125,7)
(11,8)
(15,8)
(68,8)
(69,8)
(123,8)
(124,8)
(12,9)
(13,9)
(56,64)
(57,64)
(55,65)
(57,65)
(55,66)
(54,67)
(55,67)
